Sales_no,Sales_date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Sold,Total_Sales_Value,Zone_name
12463,3/31/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),26,5198,East
12464,3/31/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,24,6158,North
12465,3/31/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,4,10170,North
12466,3/31/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,9,7117,North
12467,3/31/2017,142,A4 Notebooks,297x210 Design,Soft,Single Line,29,4064,Central
12468,3/31/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,21,8077,East
12469,3/31/2017,77,A5 Notebooks,240x180 Design,Soft,Double line,20,11971,Central
12470,3/31/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,20,5984,Central
12471,3/31/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,9,2931,North
12472,3/31/2017,151,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,15,3891,North
12473,3/31/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,7,10838,South
12474,4/1/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,7,4850,North
12475,4/1/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,15,11797,East
12476,4/1/2017,4,Small Notebooks,190x155 Design,Hard,Double line,9,2757,West
12477,4/1/2017,182,Practical Books,215x265 Design,Hard,Physics,4,9704,North
12478,4/1/2017,106,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,28,3717,South
12479,4/1/2017,184,Practical Books,215x265 Design,Hard,Combined,25,10664,West
12480,4/1/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,25,11624,South
12481,4/1/2017,49,Long (Soft),272x167 Design,Long (Soft),Unruled,29,8571,East
12482,4/1/2017,140,A4 Notebooks,297x210 Design,Soft,Unruled,25,5518,South
12483,4/1/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,13,9530,East
12484,4/1/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,27,10490,Central
12485,4/1/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,29,7437,West
12486,4/1/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,29,4384,Central
12487,4/1/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,15,8397,North
12488,4/2/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,20,2291,West
12489,4/2/2017,18,Small Notebooks,190x155 Design,Soft,Medium Square,26,6304,North
12490,4/2/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,7,3251,North
12491,4/2/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,30,7263,North
12492,4/2/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,13,11157,South
12493,4/2/2017,170,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,17,5170,North
12494,4/3/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,29,2117,West
12495,4/3/2017,125,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,25,9064,South
12496,4/3/2017,58,A5 Notebooks,240x180 Design,Hard,Single Line,2,10024,West
12497,4/3/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,4,4037,West
12498,4/3/2017,167,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,18,10984,North
12499,4/3/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,17,11943,South
12500,4/4/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,21,8890,South
12501,4/4/2017,25,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,7,5837,Central
12502,4/4/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,15,9850,Central
12503,4/5/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,29,10810,East
12504,4/5/2017,143,A4 Notebooks,297x210 Design,Soft,Single Line,14,7757,North
12505,4/5/2017,201,Other Books,176x250 Design,B5 WIRO,Single Line,2,4704,North
12506,4/5/2017,149,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),21,8717,South
12507,4/5/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,20,2611,East
12508,4/5/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,19,6624,West
12509,4/6/2017,22,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),13,3570,East
12510,4/6/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,8,4530,North
12511,4/6/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),30,11477,West
12512,4/6/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,1,5490,South
12513,4/6/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,3,2437,West
12514,4/6/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,14,3397,South
12515,4/6/2017,146,A4 Notebooks,297x210 Design,Soft,Single Line,4,10344,North
12516,4/6/2017,105,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,22,4357,Central
12517,4/6/2017,142,A4 Notebooks,297x210 Design,Soft,Single Line,11,11304,East
12518,4/6/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,27,2263,Central
12519,4/6/2017,99,A5 Notebooks,240x180 Design,Soft,interleaf(UR+4 lines),15,9210,South
12520,4/6/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,24,6157,East
12521,4/7/2017,95,A5 Notebooks,240x180 Design,Soft,Maths Ruled,17,10170,East
12522,4/7/2017,105,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,9,11130,North
12523,4/7/2017,15,Small Notebooks,190x155 Design,Soft,Double line,10,8077,Central
12524,4/7/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),23,5024,South
12525,4/7/2017,183,Practical Books,215x265 Design,Hard,Combined,20,9037,South
12526,4/8/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,29,2931,South
12527,4/8/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,26,6943,North
12528,4/8/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,11,3890,North
12529,4/8/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,22,4850,Central
12530,4/9/2017,120,A5 Notebooks,240x180 Design,Soft (Brown),Five line,14,11797,East
12531,4/9/2017,67,A5 Notebooks,240x180 Design,Soft,Single Line,23,5810,East
12532,4/9/2017,12,Small Notebooks,190x155 Design,Soft,Single Line,19,9704,North
12533,4/9/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,17,3717,North
12534,4/9/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,14,10664,East
12535,4/9/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,2,4676,North
12536,4/10/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),2,8570,Central
12537,4/11/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,7,2583,West
12538,4/12/2017,29,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,28,9530,West
12539,4/12/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,3,6477,Central
12540,4/12/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,16,7437,West
12541,4/12/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,24,11450,Central
12542,4/12/2017,12,Small Notebooks,190x155 Design,Soft,Single Line,3,8397,Central
12543,4/12/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,11,5344,South
12544,4/12/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,30,6303,East
12545,4/12/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,28,3250,Central
12546,4/12/2017,128,A5 Notebooks,240x180 Design,Soft (Brown),interleaf(UR+4 lines),21,7263,Central
12547,4/12/2017,51,Long (Soft),272x167 Design,Long (Soft),Single Line,2,4210,Central
12548,4/13/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,22,5170,South
12549,4/13/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),1,2117,Central
12550,4/13/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,8,6130,West
12551,4/13/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),14,3077,Central
12552,4/13/2017,49,Long (Soft),272x167 Design,Long (Soft),Unruled,27,5490,North
12553,4/13/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,14,2437,South
12554,4/13/2017,198,Premio Spiral book,190x160 Design,soft,Graph Book (1 mm sq.),28,6449,Central
12555,4/13/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,27,3396,South
12556,4/13/2017,18,Small Notebooks,190x155 Design,Soft,Medium Square,10,10343,West
12557,4/13/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,22,11303,East
12558,4/13/2017,63,A5 Notebooks,240x180 Design,Soft,Unruled,13,5316,East
12559,4/13/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,20,2263,East
12560,4/13/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),10,9210,South
12561,4/14/2017,120,A5 Notebooks,240x180 Design,Soft (Brown),Five line,4,3223,East
12562,4/14/2017,186,Practical Books,215x265 Design,Hard,Computer,20,10170,East
12563,4/14/2017,82,A5 Notebooks,240x180 Design,Soft,Four lines,11,7117,Central
12564,4/14/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),9,11130,South
12565,4/14/2017,181,Practical Books,215x265 Design,Hard,Physics,3,8076,West
12566,4/14/2017,198,Premio Spiral book,190x160 Design,soft,Graph Book (1 mm sq.),4,9036,Central
12567,4/14/2017,47,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Interleaf(SL+Unruled),30,5983,East
12568,4/14/2017,71,A5 Notebooks,240x180 Design,Soft,Single Line,16,9996,South
12569,4/14/2017,118,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,21,6943,West
12570,4/14/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,13,3890,West
12571,4/14/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),27,7903,North
12572,4/14/2017,15,Small Notebooks,190x155 Design,Soft,Double line,8,4850,West
12573,4/14/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,24,5810,North
12574,4/14/2017,71,A5 Notebooks,240x180 Design,Soft,Single Line,22,2757,North
12575,4/14/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,19,6769,South
12576,4/15/2017,81,A5 Notebooks,240x180 Design,Soft,Four lines,6,3716,East
12577,4/15/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,13,10663,North
12578,4/15/2017,209,Project Paper,280x220 Design,Project Paper,Single Line,14,4676,South
12579,4/15/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,7,11623,South
12580,4/15/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,22,5636,South
12581,4/15/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,20,9530,West
12582,4/15/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,15,3543,North
12583,4/16/2017,152,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,13,10490,East
12584,4/16/2017,182,Practical Books,215x265 Design,Hard,Physics,4,7437,Central
12585,4/16/2017,170,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,20,11449,West
12586,4/16/2017,90,A5 Notebooks,240x180 Design,Soft,Medium Square,13,8396,North
12587,4/16/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,10,2409,South
12588,4/16/2017,200,Other Books,176x250 Design,B5 WIRO,Single Line,19,6303,Central
12589,4/16/2017,22,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),20,10316,South
12590,4/16/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,18,7263,East
12591,4/16/2017,94,A5 Notebooks,240x180 Design,Soft,Maths Ruled,30,4210,Central
12592,4/16/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),17,8223,North
12593,4/16/2017,79,A5 Notebooks,240x180 Design,Soft,Double line,29,5170,North
12594,4/16/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,11,9182,West
12595,4/16/2017,125,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,26,3076,East
12596,4/17/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,12,7089,Central
12597,4/17/2017,186,Practical Books,215x265 Design,Hard,Computer,6,4036,Central
12598,4/17/2017,201,Other Books,176x250 Design,B5 WIRO,Single Line,19,10983,North
12599,4/17/2017,20,Small Notebooks,190x155 Design,Soft,Maths Ruled,24,4996,East
12600,4/17/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,11,11943,North
12601,4/17/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,10,2903,North
12602,4/17/2017,165,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,15,9850,North
12603,4/17/2017,181,Practical Books,215x265 Design,Hard,Physics,25,3862,Central
12604,4/17/2017,94,A5 Notebooks,240x180 Design,Soft,Maths Ruled,16,10809,East
12605,4/17/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,16,7756,West
12606,4/17/2017,92,A5 Notebooks,240x180 Design,Soft,Medium Square,8,11769,East
12607,4/17/2017,120,A5 Notebooks,240x180 Design,Soft (Brown),Five line,25,8716,East
12608,4/17/2017,116,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,13,2729,West
12609,4/17/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,12,6623,North
12610,4/18/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,29,10636,South
12611,4/18/2017,15,Small Notebooks,190x155 Design,Soft,Double line,19,7583,East
12612,4/18/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),7,4530,South
12613,4/18/2017,183,Practical Books,215x265 Design,Hard,Combined,12,8542,North
12614,4/18/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,14,5489,West
12615,4/18/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,29,9502,East
12616,4/18/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,29,3396,Central
12617,4/18/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,8,7409,West
12618,4/18/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,23,4356,South
12619,4/18/2017,81,A5 Notebooks,240x180 Design,Soft,Four lines,13,11303,East
12620,4/18/2017,94,A5 Notebooks,240x180 Design,Soft,Maths Ruled,20,5316,Central
12621,4/18/2017,99,A5 Notebooks,240x180 Design,Soft,interleaf(UR+4 lines),1,2263,East
12622,4/18/2017,79,A5 Notebooks,240x180 Design,Soft,Double line,12,6275,Central
12623,4/18/2017,90,A5 Notebooks,240x180 Design,Soft,Medium Square,26,10169,North
12624,4/19/2017,171,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,10,11129,North
12625,4/19/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),9,8076,Central
12626,4/19/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,23,2089,West
12627,4/19/2017,159,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,11,9036,South
12628,4/19/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,8,3049,East
12629,4/19/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,29,6943,South
12630,4/19/2017,186,Practical Books,215x265 Design,Hard,Computer,7,10955,North
12631,4/19/2017,152,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,14,7902,East
12632,4/20/2017,187,Drawing Book,170x245 Design,Drawing Book,small,12,4849,West
12633,4/20/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,12,8862,East
12634,4/20/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,20,5809,Central
12635,4/20/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,28,9822,South
12636,4/21/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,23,6769,West
12637,4/21/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),1,7729,East
12638,4/22/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,11,4676,East
12639,4/22/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,24,11623,Central
12640,4/22/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,20,5635,North
12641,4/22/2017,75,A5 Notebooks,240x180 Design,Soft,Double line,29,2582,South
12642,4/22/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),6,6595,South
12643,4/22/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,28,3542,North
12644,4/22/2017,134,A4 Notebooks,297x210 Design,Hard,Single Line,8,4502,East
12645,4/22/2017,182,Practical Books,215x265 Design,Hard,Physics,25,11449,South
12646,4/22/2017,200,Other Books,176x250 Design,B5 WIRO,Single Line,2,8396,South
12647,4/23/2017,82,A5 Notebooks,240x180 Design,Soft,Four lines,30,2409,East
12648,4/24/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,17,9356,East
12649,4/24/2017,17,Small Notebooks,190x155 Design,Soft,Four lines,27,3369,East
12650,4/24/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,7,10316,East
12651,4/24/2017,113,A5 Notebooks,240x180 Design,Soft (Brown),Double line,3,7262,East
12652,4/24/2017,74,A5 Notebooks,240x180 Design,Soft,Single Line,24,11275,Central
12653,4/25/2017,197,Premio Spiral book,220x280 Design,soft,Graph Book (Big),12,5169,East
12654,4/25/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,25,9182,Central
12655,4/25/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,13,6129,North
12656,4/25/2017,83,A5 Notebooks,240x180 Design,Soft,Four lines,14,10142,West
12657,4/25/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,5,7089,Central
12658,4/25/2017,82,A5 Notebooks,240x180 Design,Soft,Four lines,12,4036,East
12659,4/26/2017,200,Other Books,176x250 Design,B5 WIRO,Single Line,29,4996,North
12660,4/26/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,1,11943,North
12661,4/26/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,12,5955,South
12662,4/26/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,1,2902,West
12663,4/27/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,29,6915,West
12664,4/27/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,8,3862,North
12665,4/27/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,27,10809,Central
12666,4/27/2017,137,A4 Notebooks,297x210 Design,Soft,Unruled,22,11769,West
12667,4/28/2017,92,A5 Notebooks,240x180 Design,Soft,Medium Square,11,8716,Central
12668,4/28/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,23,2729,South
12669,4/28/2017,49,Long (Soft),272x167 Design,Long (Soft),Unruled,1,9676,North
12670,4/28/2017,178,Practical Books,215x265 Design,Hard,Chemistry,6,3688,North
12671,4/28/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,18,10635,West
12672,4/28/2017,57,Long (Brown),272x167 Brown,Long (Brown),Single Line,25,7582,West
12673,4/28/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,18,8542,North
12674,4/29/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,23,5489,West
12675,4/29/2017,178,Practical Books,215x265 Design,Hard,Chemistry,11,9502,East
12676,4/29/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,10,6449,Central
12677,4/29/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,22,10462,North
12678,4/29/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,7,7409,West
12679,4/29/2017,116,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,18,4356,North
12680,4/30/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,29,8368,West
12681,4/30/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,16,2262,West
12682,5/1/2017,15,Small Notebooks,190x155 Design,Soft,Double line,12,6275,Central
12683,5/1/2017,54,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),7,3222,West
12684,5/2/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,28,7235,East
12685,5/2/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),9,4182,West
12686,5/2/2017,4,Small Notebooks,190x155 Design,Hard,Double line,5,11129,North
12687,5/2/2017,199,Premio Spiral book,220x280 Design,soft,Scrap Book,7,5142,North
12688,5/2/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,4,9036,West
12689,5/2/2017,139,A4 Notebooks,297x210 Design,Soft,Unruled,11,3048,North
12690,5/2/2017,194,Drawing Book,275x347 Design,Drawing Book,BIG,13,9995,North
12691,5/2/2017,65,A5 Notebooks,240x180 Design,Soft,Unruled,28,4008,East
12692,5/3/2017,150,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),13,10955,Central
12693,5/3/2017,117,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,22,7902,South
12694,5/3/2017,175,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,28,11915,East
12695,5/3/2017,194,Drawing Book,275x347 Design,Drawing Book,BIG,25,5809,South
12696,5/3/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,19,6769,North
12697,5/3/2017,133,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),30,10781,North
12698,5/3/2017,15,Small Notebooks,190x155 Design,Soft,Double line,14,7728,South
12699,5/3/2017,123,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,4,4675,South
12700,5/3/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,1,8688,South
12701,5/3/2017,60,A5 Notebooks,240x180 Design,Soft,Unruled,2,5635,South
12702,5/3/2017,96,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),21,2582,South
12703,5/3/2017,181,Practical Books,215x265 Design,Hard,Physics,4,3542,North
12704,5/3/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,20,7555,Central
12705,5/3/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,20,4502,East
12706,5/4/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,25,11449,Central
12707,5/4/2017,24,Small Notebooks,190x155 Brown,Small Hard Brown,Single Line,20,5461,South
12708,5/4/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,4,2408,North
12709,5/5/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,19,9355,North
12710,5/5/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,25,10315,North
12711,5/5/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,16,4328,East
12712,5/5/2017,145,A4 Notebooks,297x210 Design,Soft,Single Line,15,11275,South
12713,5/5/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,13,8222,North
12714,5/5/2017,121,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,9,2235,East
12715,5/5/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,24,9182,East
12716,5/5/2017,15,Small Notebooks,190x155 Design,Soft,Double line,26,6129,South
12717,5/5/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,4,10141,East
12718,5/5/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,15,11101,West
12719,5/5/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,27,8048,West
12720,5/5/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,23,4995,South
12721,5/5/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,20,9008,South
12722,5/6/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,20,5955,East
12723,5/6/2017,199,Premio Spiral book,220x280 Design,soft,Scrap Book,2,2902,North
12724,5/7/2017,151,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,11,6915,South
12725,5/7/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,18,3862,South
12726,5/7/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,19,4822,Central
12727,5/7/2017,105,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,22,11768,East
12728,5/7/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,13,5781,East
12729,5/7/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,8,2728,North
12730,5/7/2017,70,A5 Notebooks,240x180 Design,Soft,Single Line,18,9675,Central
12731,5/7/2017,177,Practical Books,215x265 Design,Hard,Chemistry,17,3688,North
12732,5/8/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),30,10635,East
12733,5/8/2017,31,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,12,11595,North
12734,5/8/2017,120,A5 Notebooks,240x180 Design,Soft (Brown),Five line,27,8542,West
12735,5/8/2017,151,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,30,2555,Central
12736,5/8/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,12,9502,Central
12737,5/9/2017,94,A5 Notebooks,240x180 Design,Soft,Maths Ruled,15,6449,North
12738,5/9/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,7,10461,West
12739,5/9/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,10,7408,South
12740,5/9/2017,184,Practical Books,215x265 Design,Hard,Combined,19,8368,South
12741,5/9/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,28,5315,North
12742,5/9/2017,78,A5 Notebooks,240x180 Design,Soft,Double line,25,9328,East
12743,5/9/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,8,6275,East
12744,5/9/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),28,3222,West
12745,5/9/2017,170,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,4,7235,West
12746,5/9/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),2,4182,North
12747,5/9/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,28,5141,North
12748,5/9/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,15,2088,East
12749,5/9/2017,44,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Single Line,19,6101,Central
12750,5/10/2017,51,Long (Soft),272x167 Design,Long (Soft),Single Line,3,3048,Central
12751,5/10/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),6,9995,Central
12752,5/10/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,25,4008,South
12753,5/10/2017,105,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,16,10955,North
