Order_no,Order_Date,Product_id,Category_name,CategoryDesign_name,Type_name,Ruling_name,Qty_Ordered,Total_order_Value,Zone_name
2703,7/27/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,23,30738,North
2704,7/27/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,40,23411,Central
2705,7/27/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,50,25714,South
2706,7/27/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,16,18387,North
2707,7/27/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,43,28017,Central
2708,7/27/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,36,20690,South
2709,7/27/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),41,13363,West
2710,7/28/2017,210,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),53,22994,South
2711,7/28/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,9,15666,North
2712,7/28/2017,50,Long (Soft),272x167 Design,Long (Soft),Single Line,51,32339,South
2713,7/28/2017,14,Small Notebooks,190x155 Design,Soft,Double line,21,10643,Central
2714,7/28/2017,16,Small Notebooks,190x155 Design,Soft,Four lines,32,20273,Central
2715,7/28/2017,162,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Unruled,35,12946,South
2716,7/28/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,6,29619,East
2717,7/28/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,49,15250,East
2718,7/28/2017,65,A5 Notebooks,240x180 Design,Soft,Unruled,47,31922,North
2719,7/28/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,24,24595,East
2720,7/28/2017,165,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,8,10226,West
2721,7/28/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,5,12529,South
2722,7/29/2017,201,Other Books,176x250 Design,B5 WIRO,Single Line,47,29202,East
2723,7/29/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,43,21875,East
2724,7/29/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,60,31505,West
2725,7/29/2017,61,A5 Notebooks,240x180 Design,Soft,Unruled,25,24178,East
2726,7/29/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,60,16851,West
2727,7/30/2017,197,Premio Spiral book,220x280 Design,soft,Graph Book (Big),56,26482,West
2728,7/30/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,42,19154,East
2729,7/30/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),15,21458,Central
2730,7/30/2017,177,Practical Books,215x265 Design,Hard,Chemistry,22,14131,South
2731,7/30/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,38,23761,Central
2732,7/30/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,32,16434,East
2733,7/30/2017,185,Practical Books,215x265 Design,Hard,Combined (Brown),59,33107,South
2734,7/30/2017,21,Small Notebooks,190x155 Design,Soft,Maths Ruled,15,18737,South
2735,7/30/2017,195,Drawing Book,275x347 Design,Drawing Book,BIG,6,11410,North
2736,7/30/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,45,21041,West
2737,7/30/2017,161,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Broad line,55,30386,Central
2738,7/30/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,37,16017,Central
2739,7/30/2017,46,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Medium Square,51,32690,South
2740,7/31/2017,152,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,58,25363,South
2741,7/31/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,43,27666,North
2742,7/31/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,10,13297,South
2743,7/31/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,2,29970,North
2744,7/31/2017,130,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),49,22642,East
2745,7/31/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,57,24946,West
2746,7/31/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,12,17618,South
2747,7/31/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,38,27249,West
2748,8/1/2017,166,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,49,19922,Central
2749,8/1/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,39,29553,North
2750,8/1/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,28,22225,West
2751,8/1/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,27,14898,South
2752,8/1/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,8,24529,Central
2753,8/1/2017,126,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,23,17202,Central
2754,8/1/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,42,19505,North
2755,8/1/2017,130,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),9,12178,East
2756,8/1/2017,19,Small Notebooks,190x155 Design,Soft,Medium Square,52,21808,East
2757,8/1/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),51,14481,South
2758,8/2/2017,178,Practical Books,215x265 Design,Hard,Chemistry,6,31154,East
2759,8/2/2017,135,A4 Notebooks,297x210 Design,Hard,Single Line,43,16785,West
2760,8/2/2017,138,A4 Notebooks,297x210 Design,Soft,Unruled,18,33457,North
2761,8/2/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,5,26130,East
2762,8/2/2017,146,A4 Notebooks,297x210 Design,Soft,Single Line,28,28434,North
2763,8/2/2017,56,Long (Brown),272x167 Brown,Long (Brown),Single Line,54,14064,West
2764,8/2/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,56,30737,East
2765,8/2/2017,179,Practical Books,215x265 Design,Hard,Biology,7,23410,South
2766,8/2/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,51,33041,East
2767,8/2/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,43,25713,East
2768,8/2/2017,143,A4 Notebooks,297x210 Design,Soft,Single Line,27,18386,West
2769,8/3/2017,1,Small Notebooks,190x155 Design,Hard,Unruled,30,28017,West
2770,8/3/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),12,20689,Central
2771,8/3/2017,103,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,30,22993,West
2772,8/3/2017,157,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,56,15666,South
2773,8/3/2017,101,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,14,25296,West
2774,8/3/2017,155,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,56,17969,South
2775,8/4/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,22,10642,East
2776,8/4/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,9,20273,West
2777,8/5/2017,107,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,5,12945,North
2778,8/5/2017,183,Practical Books,215x265 Design,Hard,Combined,26,22576,Central
2779,8/5/2017,66,A5 Notebooks,240x180 Design,Soft,Unruled,2,31922,West
2780,8/5/2017,27,Small Notebooks,190x155 Brown,Small Hard Brown,Double line,19,17552,North
2781,8/5/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,41,10225,South
2782,8/5/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,53,26898,North
2783,8/5/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),52,12528,West
2784,8/5/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,34,29201,East
2785,8/5/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),33,14832,North
2786,8/5/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,20,31505,East
2787,8/5/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,26,24177,South
2788,8/5/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,53,26481,Central
2789,8/5/2017,132,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),55,19154,East
2790,8/5/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,10,28784,West
2791,8/5/2017,140,A4 Notebooks,297x210 Design,Soft,Unruled,46,21457,East
2792,8/6/2017,128,A5 Notebooks,240x180 Design,Soft (Brown),interleaf(UR+4 lines),47,31088,Central
2793,8/6/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,18,23760,North
2794,8/6/2017,146,A4 Notebooks,297x210 Design,Soft,Single Line,38,16433,West
2795,8/6/2017,113,A5 Notebooks,240x180 Design,Soft (Brown),Double line,16,26064,North
2796,8/6/2017,153,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,48,11409,West
2797,8/7/2017,50,Long (Soft),272x167 Design,Long (Soft),Single Line,22,21040,South
2798,8/7/2017,77,A5 Notebooks,240x180 Design,Soft,Double line,26,13713,South
2799,8/7/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,46,23344,North
2800,8/7/2017,51,Long (Soft),272x167 Design,Long (Soft),Single Line,51,16016,North
2801,8/7/2017,190,Drawing Book,210x297 Design,Drawing Book,A4,3,32689,West
2802,8/7/2017,152,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled,35,18320,East
2803,8/7/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,24,10993,North
2804,8/7/2017,39,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,58,13296,Central
2805,8/8/2017,148,A4 Notebooks,297x210 Design,Soft,Four lines,30,29969,North
2806,8/8/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,38,15599,South
2807,8/8/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,9,32272,East
2808,8/8/2017,205,Spiral Book,297x210 Design,Spiral Book,Single Line,30,24945,West
2809,8/8/2017,54,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),23,10576,South
2810,8/8/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,59,27248,Central
2811,8/8/2017,142,A4 Notebooks,297x210 Design,Soft,Single Line,42,29552,Central
2812,8/8/2017,7,Small Notebooks,190x155 Design,Hard,Four lines,9,22225,South
2813,8/8/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,2,24528,Central
2814,8/8/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,58,17201,East
2815,8/8/2017,61,A5 Notebooks,240x180 Design,Soft,Unruled,39,26831,East
2816,8/8/2017,83,A5 Notebooks,240x180 Design,Soft,Four lines,32,19504,Central
2817,8/9/2017,142,A4 Notebooks,297x210 Design,Soft,Single Line,26,12177,East
2818,8/9/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,51,21808,Central
2819,8/9/2017,149,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),32,24111,South
2820,8/9/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,57,16784,West
2821,8/9/2017,209,Project Paper,280x220 Design,Project Paper,Single Line,51,33457,South
2822,8/9/2017,99,A5 Notebooks,240x180 Design,Soft,interleaf(UR+4 lines),57,19087,Central
2823,8/9/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,29,11760,Central
2824,8/9/2017,122,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,59,28433,West
2825,8/9/2017,87,A5 Notebooks,240x180 Design,Soft,Four lines,15,14064,East
2826,8/10/2017,73,A5 Notebooks,240x180 Design,Soft,Single Line,58,30736,South
2827,8/10/2017,149,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),27,16367,South
2828,8/10/2017,173,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,20,33040,South
2829,8/11/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,37,11343,Central
2830,8/11/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),13,28016,East
2831,8/11/2017,53,Long (Soft),272x167 Design,Long (Soft),Single Line,29,20689,West
2832,8/11/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,4,30319,East
2833,8/11/2017,14,Small Notebooks,190x155 Design,Soft,Double line,1,22992,West
2834,8/11/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,18,32623,Central
2835,8/11/2017,88,A5 Notebooks,240x180 Design,Soft,Medium Square,60,25296,South
2836,8/11/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,46,17968,East
2837,8/11/2017,65,A5 Notebooks,240x180 Design,Soft,Unruled,2,27599,Central
2838,8/11/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,55,12945,West
2839,8/12/2017,37,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,15,22575,West
2840,8/12/2017,207,Project Paper,280x220 Design,Project Paper,Unruled,47,15248,Central
2841,8/13/2017,38,Small  Medium Notebooks,210x170 Design,Medium(Soft),Medium Square,22,24879,Central
2842,8/13/2017,128,A5 Notebooks,240x180 Design,Soft (Brown),interleaf(UR+4 lines),19,17551,West
2843,8/14/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),10,10224,Central
2844,8/14/2017,89,A5 Notebooks,240x180 Design,Soft,Medium Square,4,19855,North
2845,8/14/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,17,29200,Central
2846,8/14/2017,11,Small Notebooks,190x155 Design,Soft,Unruled,11,14831,North
2847,8/14/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,55,31504,North
2848,8/14/2017,146,A4 Notebooks,297x210 Design,Soft,Single Line,46,17135,East
2849,8/14/2017,93,A5 Notebooks,240x180 Design,Soft,Medium Square,54,33807,East
2850,8/14/2017,140,A4 Notebooks,297x210 Design,Soft,Unruled,51,26480,East
2851,8/14/2017,50,Long (Soft),272x167 Design,Long (Soft),Single Line,11,12111,East
2852,8/14/2017,84,A5 Notebooks,240x180 Design,Soft,Four lines,17,28783,West
2853,8/15/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),43,21456,West
2854,8/15/2017,11,Small Notebooks,190x155 Design,Soft,Unruled,60,23760,North
2855,8/15/2017,109,A5 Notebooks,240x180 Design,Soft (Brown),Single Line,58,33390,North
2856,8/15/2017,29,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,38,26063,West
2857,8/15/2017,5,Small Notebooks,190x155 Design,Hard,Double line,22,18736,West
2858,8/15/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,21,28367,South
2859,8/15/2017,156,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,12,21039,East
2860,8/15/2017,192,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),57,13712,West
2861,8/15/2017,99,A5 Notebooks,240x180 Design,Soft,interleaf(UR+4 lines),17,16016,South
2862,8/15/2017,208,Project Paper,280x220 Design,Project Paper,Single Line,45,25646,South
2863,8/15/2017,169,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,35,18319,North
2864,8/15/2017,198,Premio Spiral book,190x160 Design,soft,Graph Book (1 mm sq.),40,10992,West
2865,8/16/2017,22,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),26,20622,South
2866,8/16/2017,20,Small Notebooks,190x155 Design,Soft,Maths Ruled,28,13295,Central
2867,8/16/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,33,29968,West
2868,8/16/2017,69,A5 Notebooks,240x180 Design,Soft,Single Line,50,15599,North
2869,8/16/2017,179,Practical Books,215x265 Design,Hard,Biology,51,17902,East
2870,8/16/2017,41,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,29,10575,South
2871,8/16/2017,160,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Single Line,33,27248,South
2872,8/16/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,18,12878,West
2873,8/16/2017,198,Premio Spiral book,190x160 Design,soft,Graph Book (1 mm sq.),52,29551,North
2874,8/16/2017,117,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,8,22224,East
2875,8/16/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,10,31855,North
2876,8/17/2017,98,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),42,10158,West
2877,8/17/2017,45,Jumbo A5 Notebooks,255x205 Design,Jumbo A5(Soft),Four lines,34,26831,East
2878,8/17/2017,176,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,32,19503,North
2879,8/17/2017,180,Practical Books,215x265 Design,Hard,Biology,44,29134,North
2880,8/17/2017,61,A5 Notebooks,240x180 Design,Soft,Unruled,10,21807,Central
2881,8/17/2017,183,Practical Books,215x265 Design,Hard,Combined,10,14480,South
2882,8/17/2017,54,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),42,24110,Central
2883,8/17/2017,119,A5 Notebooks,240x180 Design,Soft (Brown),Five line,1,16783,South
2884,8/17/2017,130,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),10,19087,Central
2885,8/17/2017,129,A5 Notebooks,240x180 Design,Soft (Brown),Broad line,56,21390,North
2886,8/17/2017,188,Drawing Book,210x297 Design,Drawing Book,A4,29,14063,East
2887,8/17/2017,202,Other Books,216x140 Design,A5 WIRO,Single Line,49,30736,North
2888,8/18/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,35,16366,Central
2889,8/18/2017,196,Premio Spiral book,210x170 Design,soft,Graph Book (1 inch sq.),2,33039,Central
2890,8/18/2017,143,A4 Notebooks,297x210 Design,Soft,Single Line,12,18670,Central
2891,8/18/2017,102,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,20,11342,Central
2892,8/18/2017,22,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),16,13646,North
2893,8/18/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,20,30319,Central
2894,8/18/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,25,22991,North
2895,8/18/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,9,32622,East
2896,8/18/2017,6,Small Notebooks,190x155 Design,Hard,Four lines,46,25295,West
2897,8/18/2017,157,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,3,10926,Central
2898,8/18/2017,167,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,40,27598,West
2899,8/18/2017,150,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),26,20271,South
2900,8/18/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,47,29902,East
2901,8/19/2017,8,Small Notebooks,190x155 Design,Hard,Maths Ruled,60,15247,North
2902,8/19/2017,49,Long (Soft),272x167 Design,Long (Soft),Unruled,55,24878,East
2903,8/19/2017,112,A5 Notebooks,240x180 Design,Soft (Brown),Double line,34,17551,West
2904,8/19/2017,163,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,11,27181,South
2905,8/19/2017,164,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Hard),Single Line,48,19854,East
2906,8/19/2017,34,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,45,12527,South
2907,8/19/2017,118,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,53,22158,North
2908,8/19/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,51,14830,Central
2909,8/19/2017,55,Long (Soft),272x167 Design,Long (Soft),Interleaf(SL+Unruled),15,17134,Central
2910,8/19/2017,150,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Unruled (Horizontal),59,33807,North
2911,8/19/2017,5,Small Notebooks,190x155 Design,Hard,Double line,38,19437,East
2912,8/20/2017,171,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,29,12110,East
2913,8/20/2017,197,Premio Spiral book,220x280 Design,soft,Graph Book (Big),31,28783,North
2914,8/20/2017,187,Drawing Book,170x245 Design,Drawing Book,small,32,14413,South
2915,8/20/2017,204,Spiral Book,240x180 Design,Spiral Book,Single Line,5,31086,North
2916,8/20/2017,81,A5 Notebooks,240x180 Design,Soft,Four lines,19,23759,Central
2917,8/20/2017,133,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (DL+FL+Med Sq),46,33390,North
2918,8/20/2017,64,A5 Notebooks,240x180 Design,Soft,Unruled,32,11693,West
2919,8/20/2017,13,Small Notebooks,190x155 Design,Soft,Single Line,54,28366,East
2920,8/20/2017,86,A5 Notebooks,240x180 Design,Soft,Four lines,12,21039,North
2921,8/21/2017,111,A5 Notebooks,240x180 Design,Soft (Brown),Double line,43,30669,North
2922,8/21/2017,36,Small  Medium Notebooks,210x170 Design,Medium(Soft),Four lines,38,23342,Central
2923,8/22/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,25,16015,Central
2924,8/22/2017,206,Project Paper,280x220 Design,Project Paper,Unruled,15,25645,West
2925,8/22/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,16,27949,North
2926,8/22/2017,187,Drawing Book,170x245 Design,Drawing Book,small,32,20622,North
2927,8/22/2017,144,A4 Notebooks,297x210 Design,Soft,Single Line,56,13294,West
2928,8/22/2017,168,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Unruled,9,22925,West
2929,8/23/2017,23,Small Notebooks,190x155 Design,Soft,Interleaf(SL+Unruled),42,15598,South
2930,8/23/2017,91,A5 Notebooks,240x180 Design,Soft,Medium Square,9,32271,South
2931,8/23/2017,28,Small Notebooks,190x155 Brown,Small Hard Brown,Four lines,45,17901,West
2932,8/24/2017,80,A5 Notebooks,240x180 Design,Soft,Three line,47,10574,East
2933,8/24/2017,10,Small Notebooks,190x155 Design,Soft,Unruled,38,12878,East
2934,8/24/2017,104,A5 Notebooks,240x180 Design,Soft (Brown),Unruled,57,29550,South
2935,8/24/2017,5,Small Notebooks,190x155 Design,Hard,Double line,29,15181,East
2936,8/24/2017,40,Small  Medium Notebooks,210x170 Design,Medium(Soft),Big Square,36,31854,Central
2937,8/24/2017,181,Practical Books,215x265 Design,Hard,Physics,59,24526,South
2938,8/24/2017,154,A4 Notebooks,297x210 BrownA4 Brown (Soft),Nil,Single Line,41,10157,Central
2939,8/24/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),35,26830,South
2940,8/24/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,44,12461,East
2941,8/24/2017,211,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),15,21806,West
2942,8/24/2017,179,Practical Books,215x265 Design,Hard,Biology,47,31437,Central
2943,8/24/2017,86,A5 Notebooks,240x180 Design,Soft,Four lines,16,24110,West
2944,8/24/2017,124,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,33,16782,North
2945,8/24/2017,141,A4 Notebooks,297x210 Design,Soft,Unruled,3,26413,West
2946,8/25/2017,11,Small Notebooks,190x155 Design,Soft,Unruled,43,19086,East
2947,8/25/2017,32,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,11,28716,Central
2948,8/25/2017,131,A5 Notebooks,240x180 Design,Soft (Brown),3 in 1 (SL+FL+Med Sq),17,21389,South
2949,8/25/2017,52,Long (Soft),272x167 Design,Long (Soft),Single Line,15,23693,Central
2950,8/25/2017,30,Small Notebooks,190x155 Brown,Small Hard Brown,Medium Square,21,16365,East
2951,8/25/2017,157,Ultra Long Notebooks,314x194 Design,Ultra Long (Soft),Unruled,51,33038,East
2952,8/25/2017,174,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,54,18669,Central
2953,8/25/2017,62,A5 Notebooks,240x180 Design,Soft,Unruled,4,11342,West
2954,8/25/2017,181,Practical Books,215x265 Design,Hard,Physics,41,20972,South
2955,8/25/2017,85,A5 Notebooks,240x180 Design,Soft,Four lines,27,13645,West
2956,8/25/2017,174,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,39,15949,North
2957,8/25/2017,175,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,23,25294,West
2958,8/25/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,22,10925,South
2959,8/25/2017,121,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,35,27597,Central
2960,8/26/2017,187,Drawing Book,170x245 Design,Drawing Book,small,13,13228,West
2961,8/26/2017,118,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,37,29901,South
2962,8/26/2017,125,A5 Notebooks,240x180 Design,Soft (Brown),Medium Square,26,22574,East
2963,8/26/2017,14,Small Notebooks,190x155 Design,Soft,Double line,17,24877,North
2964,8/26/2017,191,Drawing Book,210x297 Design,Drawing Book,A4 (80 GSM),21,17550,East
2965,8/26/2017,96,A5 Notebooks,240x180 Design,Soft,Interleaf(SL+Unruled),7,27181,East
2966,8/26/2017,194,Drawing Book,275x347 Design,Drawing Book,BIG,28,19853,Central
2967,8/26/2017,175,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,59,29484,South
2968,8/26/2017,76,A5 Notebooks,240x180 Design,Soft,Double line,26,22157,West
2969,8/26/2017,72,A5 Notebooks,240x180 Design,Soft,Single Line,48,14830,North
2970,8/26/2017,77,A5 Notebooks,240x180 Design,Soft,Double line,14,24460,North
2971,8/27/2017,43,Small  Medium Notebooks,210x170 Design,Medium(Soft),Interleaf(SL+Unruled),41,17133,North
2972,8/27/2017,210,Project Paper,280x220 Design,Project Paper,Interleaf (SL+Unruled),40,19436,North
2973,8/27/2017,147,A4 Notebooks,297x210 Design,Soft,Single Line,33,12109,Central
2974,8/27/2017,115,A5 Notebooks,240x180 Design,Soft (Brown),Four lines,54,21740,South
2975,8/27/2017,189,Drawing Book,210x297 Design,Drawing Book,A4,38,14413,Central
2976,8/27/2017,59,A5 Notebooks,240x180 Design,Soft,Unruled,16,31085,South
2977,8/27/2017,172,Super Ulter Long Notebooks,330x210 Design,Super Ultra Long (Soft),Single Line,52,16716,West
2978,8/27/2017,197,Premio Spiral book,220x280 Design,soft,Graph Book (Big),38,33389,West
2979,8/27/2017,33,Small  Medium Notebooks,210x170 Design,Medium(Soft),Unruled,40,26062,North
2980,8/27/2017,100,A5 Notebooks,240x180 Design,Soft,3 in 1 (SL+FL+Med Sq),57,28365,West
2981,8/27/2017,14,Small Notebooks,190x155 Design,Soft,Double line,10,13996,East
2982,8/27/2017,203,Other Books,216x140 Design,A5 WIRO,Single Line,14,30668,East
2983,8/27/2017,177,Practical Books,215x265 Design,Hard,Chemistry,39,23341,South
2984,8/27/2017,58,A5 Notebooks,240x180 Design,Hard,Single Line,48,32972,Central
2985,8/28/2017,35,Small  Medium Notebooks,210x170 Design,Medium(Soft),Single Line,50,25645,Central
2986,8/28/2017,70,A5 Notebooks,240x180 Design,Soft,Single Line,24,18317,West
2987,8/28/2017,127,A5 Notebooks,240x180 Design,Soft (Brown),Big Square,33,27948,South
